,character_list,dialogue_list,episode_code,word_count
0,Sokka," It's not getting away from me this time. Watch and learn, Katara. This is how you catch a fish.",101,19.0
1,Katara," Sokka, look!",101,2.0
2,Sokka,"  Shhh. Katara, you're gonna scare it away. Mmmm... I can already smell it cookin'!",101,14.0
3,Katara, Hey!  But Sokka! I caught one!,101,6.0
4,Sokka, Ugh! Why is it that every time you play with magic water I get soaked?,101,15.0
5,Katara," It's not magic. It's waterbending, and it's-",101,7.0
6,Sokka," Yeah, yeah, an ancient art unique to our culture, blah blah blah. Look, I'm just saying that if I had weird powers, I'd keep my weirdness to myself.",101,28.0
7,Katara, You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water.,101,22.0
8,Sokka, Ahhh!,101,1.0
9,Katara, You call that left?  Watch out! Go left! Go left!,101,10.0
10,Sokka," You don't like my steering. Well, maybe you should have waterbended us out of the ice.",101,16.0
11,Katara, So it's my fault?,101,4.0
12,Sokka, I knew I should have left you home. Leave it to a girl to screw things up.,101,17.0
13,Katara," Ugh, I'm embarrassed to be related to you! Ever since Mom died I've been doing all the work around camp while you've been off playing soldier!  You are the most sexist, immature, nut brained...",101,34.0
14,Sokka, Uh... Katara?,101,2.0
15,Katara," I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, NOT PLEASANT!",101,19.0
16,Sokka, Katara! Settle down!,101,3.0
17,Katara," No, that's it. I'm done helping you. From now on, you're on your own!",101,14.0
18,Sokka," Okay, you've gone from weird to freakish, Katara.",101,8.0
19,Katara, You mean I did that?,101,5.0
20,Sokka, Yup. Congratulations.,101,2.0
21,Katara, He's alive! We have to help.,101,6.0
22,Sokka, Katara! Get back here! We don't know what that thing is!,101,11.0
23,Zuko," Finally.  Uncle, do you realize what this means?",101,8.0
24,Iroh, I won't get to finish my game?,101,7.0
25,Zuko, That light came from an incredibly powerful source. It has to be him!  It means my search - it's about to come to an end.,101,25.0
26,Iroh," Or it's just the celestial lights. We've been down this road before, Prince Zuko. I don't want you to get too excited over nothing. Please, sit. Why don't you enjoy a cup of calming jasmine tea?",101,36.0
27,Zuko," I don't need any calming tea! I need to capture the Avatar. Helmsman, head a course for the light!",101,19.0
